Date,ExchangeRate,CurrencyCode
2023-01-01,1.5699,AUD
2023-01-01,0.9873,CHF
2023-01-01,7.4374,DKK
2023-01-01,0.8863,GBP
2023-01-01,1.4506,CAD
2023-01-01,3.7537,ILS
2023-01-01,151.7000,ISK
2023-01-01,16631.7800,IDR
2023-01-01,401.0300,HUF
2023-01-01,1.9558,BGN
2023-01-01,24.1760,CZK
2023-01-01,5.7048,BRL
2023-01-01,88.4260,INR
2023-01-01,8.3389,HKD
2023-01-01,7.3698,CNY
2023-01-02,0.9873,CHF
2023-01-02,7.4374,DKK
2023-01-02,8.3389,HKD
2023-01-02,0.8863,GBP
2023-01-02,7.3698,CNY
2023-01-02,24.1760,CZK
2023-01-02,3.7537,ILS
2023-01-02,151.7000,ISK
2023-01-02,88.4260,INR
2023-01-02,1.9558,BGN
2023-01-02,401.0300,HUF
2023-01-02,1.4506,CAD
2023-01-02,16631.7800,IDR
2023-01-02,5.7048,BRL
2023-01-02,1.5699,AUD
2023-01-03,16471.9500,IDR
2023-01-03,1.9558,BGN
2023-01-03,151.7000,ISK
2023-01-03,0.9879,CHF
2023-01-03,0.8805,GBP
2023-01-03,8.2392,HKD
2023-01-03,7.2863,CNY
2023-01-03,1.5708,AUD
2023-01-03,403.3300,HUF
2023-01-03,7.4370,DKK
2023-01-03,1.4414,CAD
2023-01-03,5.6656,BRL
2023-01-03,87.4095,INR
2023-01-03,3.7216,ILS
2023-01-03,24.1240,CZK
2023-01-04,8.2864,HKD
2023-01-04,151.7000,ISK
2023-01-04,0.8808,GBP
2023-01-04,24.0280,CZK
2023-01-04,7.4374,DKK
2023-01-04,395.8500,HUF
2023-01-04,1.5452,AUD
2023-01-04,87.7910,INR
2023-01-04,1.9558,BGN
2023-01-04,3.7397,ILS
2023-01-04,1.4363,CAD
2023-01-04,16504.7600,IDR
2023-01-04,0.9843,CHF
2023-01-04,5.7758,BRL
2023-01-04,7.2985,CNY
2023-01-05,1.9558,BGN
2023-01-05,7.4373,DKK
2023-01-05,24.0280,CZK
2023-01-05,3.7400,ILS
2023-01-05,1.5515,AUD
2023-01-05,16543.0700,IDR
2023-01-05,152.3000,ISK
2023-01-05,5.7060,BRL
2023-01-05,8.2788,HKD
2023-01-05,0.8830,GBP
2023-01-05,0.9839,CHF
2023-01-05,396.8800,HUF
2023-01-05,7.2863,CNY
2023-01-05,1.4316,CAD
2023-01-05,87.4755,INR
2023-01-06,24.0540,CZK
2023-01-06,1.4331,CAD
2023-01-06,0.8848,GBP
2023-01-06,396.9600,HUF
2023-01-06,7.2045,CNY
2023-01-06,3.7361,ILS
2023-01-06,7.4370,DKK
2023-01-06,86.9103,INR
2023-01-06,16468.3000,IDR
2023-01-06,152.9000,ISK
2023-01-06,1.5590,AUD
2023-01-06,8.2006,HKD
2023-01-06,5.6034,BRL
2023-01-06,0.9864,CHF
2023-01-06,1.9558,BGN
2023-01-07,0.9864,CHF
2023-01-07,3.7361,ILS
2023-01-07,16468.3000,IDR
2023-01-07,5.6034,BRL
2023-01-07,1.4331,CAD
2023-01-07,86.9103,INR
2023-01-07,7.2045,CNY
2023-01-07,1.5590,AUD
2023-01-07,1.9558,BGN
2023-01-07,7.4370,DKK
2023-01-07,152.9000,ISK
2023-01-07,0.8848,GBP
2023-01-07,8.2006,HKD
2023-01-07,396.9600,HUF
2023-01-07,24.0540,CZK
2023-01-08,7.4370,DKK
2023-01-08,1.4331,CAD
2023-01-08,152.9000,ISK
2023-01-08,86.9103,INR
2023-01-08,16468.3000,IDR
2023-01-08,7.2045,CNY
2023-01-08,8.2006,HKD
2023-01-08,1.5590,AUD
2023-01-08,1.9558,BGN
2023-01-08,5.6034,BRL
2023-01-08,0.9864,CHF
2023-01-08,3.7361,ILS
2023-01-08,0.8848,GBP
2023-01-08,396.9600,HUF
2023-01-08,24.0540,CZK
2023-01-09,1.9558,BGN
2023-01-09,153.5000,ISK
2023-01-09,3.7347,ILS
2023-01-09,16661.9200,IDR
2023-01-09,88.0780,INR
2023-01-09,1.4299,CAD
2023-01-09,0.8805,GBP
2023-01-09,7.2546,CNY
2023-01-09,8.3508,HKD
2023-01-09,5.6475,BRL
2023-01-09,7.4374,DKK
2023-01-09,0.9865,CHF
2023-01-09,1.5446,AUD
2023-01-09,397.2500,HUF
2023-01-09,23.9900,CZK
2023-01-10,7.2732,CNY
2023-01-10,1.9558,BGN
2023-01-10,399.0000,HUF
2023-01-10,1.5616,AUD
2023-01-10,154.7000,ISK
2023-01-10,87.7030,INR
2023-01-10,5.6471,BRL
2023-01-10,7.4375,DKK
2023-01-10,23.9840,CZK
2023-01-10,8.3740,HKD
2023-01-10,0.9908,CHF
2023-01-10,16675.0700,IDR
2023-01-10,1.4382,CAD
2023-01-10,0.8833,GBP
2023-01-10,3.7244,ILS
2023-01-11,8.3974,HKD
2023-01-11,3.7104,ILS
2023-01-11,7.4375,DKK
2023-01-11,0.8867,GBP
2023-01-11,1.5588,AUD
2023-01-11,24.0270,CZK
2023-01-11,1.9558,BGN
2023-01-11,0.9967,CHF
2023-01-11,154.3000,ISK
2023-01-11,5.5840,BRL
2023-01-11,399.1000,HUF
2023-01-11,16612.3400,IDR
2023-01-11,1.4429,CAD
2023-01-11,7.2807,CNY
2023-01-11,87.8120,INR
2023-01-12,1.0056,CHF
2023-01-12,8.4121,HKD
2023-01-12,399.6000,HUF
2023-01-12,1.9558,BGN
2023-01-12,87.7830,INR
2023-01-12,7.4385,DKK
2023-01-12,16456.1200,IDR
2023-01-12,154.3000,ISK
2023-01-12,0.8869,GBP
2023-01-12,1.5570,AUD
2023-01-12,24.0360,CZK
2023-01-12,7.2700,CNY
2023-01-12,1.4439,CAD
2023-01-12,5.5556,BRL
2023-01-12,3.6893,ILS
2023-01-13,154.3000,ISK
2023-01-13,7.2729,CNY
2023-01-13,16412.0000,IDR
2023-01-13,1.9558,BGN
2023-01-13,5.5512,BRL
2023-01-13,1.4494,CAD
2023-01-13,3.7032,ILS
2023-01-13,1.0051,CHF
2023-01-13,1.5586,AUD
2023-01-13,8.4471,HKD
2023-01-13,24.0110,CZK
2023-01-13,88.0960,INR
2023-01-13,0.8880,GBP
2023-01-13,7.4387,DKK
2023-01-13,396.9600,HUF
2023-01-14,8.4471,HKD
2023-01-14,5.5512,BRL
2023-01-14,7.2729,CNY
2023-01-14,24.0110,CZK
2023-01-14,16412.0000,IDR
2023-01-14,1.4494,CAD
2023-01-14,88.0960,INR
2023-01-14,1.9558,BGN
2023-01-14,1.5586,AUD
2023-01-14,7.4387,DKK
2023-01-14,0.8880,GBP
2023-01-14,154.3000,ISK
2023-01-14,1.0051,CHF
2023-01-14,396.9600,HUF
2023-01-14,3.7032,ILS
2023-01-15,7.4387,DKK
2023-01-15,88.0960,INR
2023-01-15,1.4494,CAD
2023-01-15,1.0051,CHF
2023-01-15,3.7032,ILS
2023-01-15,396.9600,HUF
2023-01-15,0.8880,GBP
2023-01-15,16412.0000,IDR
2023-01-15,154.3000,ISK
2023-01-15,24.0110,CZK
2023-01-15,1.5586,AUD
2023-01-15,1.9558,BGN
2023-01-15,5.5512,BRL
2023-01-15,8.4471,HKD
2023-01-15,7.2729,CNY
2023-01-16,7.2791,CNY
2023-01-16,0.8876,GBP
2023-01-16,23.9970,CZK
2023-01-16,5.5240,BRL
2023-01-16,1.4486,CAD
2023-01-16,7.4392,DKK
2023-01-16,16335.0300,IDR
2023-01-16,1.9558,BGN
2023-01-16,1.5537,AUD
2023-01-16,3.6971,ILS
2023-01-16,8.4449,HKD
2023-01-16,154.5000,ISK
2023-01-16,1.0026,CHF
2023-01-16,398.9800,HUF
2023-01-16,88.2795,INR
2023-01-17,8.4807,HKD
2023-01-17,0.8860,GBP
2023-01-17,88.5770,INR
2023-01-17,0.9998,CHF
2023-01-17,23.9660,CZK
2023-01-17,16467.8300,IDR
2023-01-17,7.4386,DKK
2023-01-17,1.4547,CAD
2023-01-17,154.5000,ISK
2023-01-17,399.5800,HUF
2023-01-17,1.9558,BGN
2023-01-17,5.5607,BRL
2023-01-17,3.7021,ILS
2023-01-17,7.3473,CNY
2023-01-17,1.5611,AUD
2023-01-18,0.9906,CHF
2023-01-18,8.4814,HKD
2023-01-18,1.4505,CAD
2023-01-18,7.4399,DKK
2023-01-18,3.6524,ILS
2023-01-18,7.3193,CNY
2023-01-18,396.1500,HUF
2023-01-18,88.1420,INR
2023-01-18,154.5000,ISK
2023-01-18,1.5413,AUD
2023-01-18,16307.2000,IDR
2023-01-18,0.8753,GBP
2023-01-18,5.5252,BRL
2023-01-18,23.9540,CZK
2023-01-18,1.9558,BGN
2023-01-19,88.0460,INR
2023-01-19,396.4300,HUF
2023-01-19,1.5726,AUD
2023-01-19,0.9921,CHF
2023-01-19,154.5000,ISK
2023-01-19,3.6952,ILS
2023-01-19,8.4696,HKD
2023-01-19,0.8765,GBP
2023-01-19,16429.6600,IDR
2023-01-19,7.4398,DKK
2023-01-19,23.9240,CZK
2023-01-19,5.6326,BRL
2023-01-19,7.3424,CNY
2023-01-19,1.4603,CAD
2023-01-19,1.9558,BGN
2023-01-20,8.4775,HKD
2023-01-20,154.3000,ISK
2023-01-20,7.4391,DKK
2023-01-20,0.9962,CHF
2023-01-20,395.8800,HUF
2023-01-20,3.6839,ILS
2023-01-20,1.4583,CAD
2023-01-20,1.5619,AUD
2023-01-20,16367.6700,IDR
2023-01-20,7.3425,CNY
2023-01-20,5.6271,BRL
2023-01-20,23.9220,CZK
2023-01-20,0.8760,GBP
2023-01-20,87.8170,INR
2023-01-20,1.9558,BGN
2023-01-21,154.3000,ISK
2023-01-21,23.9220,CZK
2023-01-21,1.5619,AUD
2023-01-21,16367.6700,IDR
2023-01-21,0.9962,CHF
2023-01-21,1.4583,CAD
2023-01-21,7.4391,DKK
2023-01-21,8.4775,HKD
2023-01-21,3.6839,ILS
2023-01-21,0.8760,GBP
2023-01-21,395.8800,HUF
2023-01-21,1.9558,BGN
2023-01-21,7.3425,CNY
2023-01-21,5.6271,BRL
2023-01-21,87.8170,INR
2023-01-22,395.8800,HUF
2023-01-22,1.4583,CAD
2023-01-22,0.9962,CHF
2023-01-22,7.3425,CNY
2023-01-22,5.6271,BRL
2023-01-22,16367.6700,IDR
2023-01-22,3.6839,ILS
2023-01-22,87.8170,INR
2023-01-22,0.8760,GBP
2023-01-22,154.3000,ISK
2023-01-22,1.9558,BGN
2023-01-22,1.5619,AUD
2023-01-22,23.9220,CZK
2023-01-22,7.4391,DKK
2023-01-22,8.4775,HKD
2023-01-23,3.6709,ILS
2023-01-23,1.0013,CHF
2023-01-23,1.4523,CAD
2023-01-23,8.5105,HKD
2023-01-23,154.7000,ISK
2023-01-23,7.4393,DKK
2023-01-23,88.4520,INR
2023-01-23,1.9558,BGN
2023-01-23,5.6372,BRL
2023-01-23,7.3730,CNY
2023-01-23,395.9800,HUF
2023-01-23,0.8797,GBP
2023-01-23,1.5529,AUD
2023-01-23,16314.2700,IDR
2023-01-23,23.8810,CZK
2023-01-24,0.8837,GBP
2023-01-24,7.4399,DKK
2023-01-24,7.3642,CNY
2023-01-24,23.8740,CZK
2023-01-24,1.4517,CAD
2023-01-24,1.0053,CHF
2023-01-24,156.1000,ISK
2023-01-24,88.6235,INR
2023-01-24,1.5470,AUD
2023-01-24,5.6164,BRL
2023-01-24,397.3300,HUF
2023-01-24,3.6671,ILS
2023-01-24,16259.0500,IDR
2023-01-24,1.9558,BGN
2023-01-24,8.5014,HKD
2023-01-25,1.5360,AUD
2023-01-25,7.3778,CNY
2023-01-25,23.8080,CZK
2023-01-25,5.5690,BRL
2023-01-25,16278.9300,IDR
2023-01-25,1.4544,CAD
2023-01-25,7.4381,DKK
2023-01-25,157.1000,ISK
2023-01-25,3.6651,ILS
2023-01-25,0.8825,GBP
2023-01-25,388.7500,HUF
2023-01-25,88.7258,INR
2023-01-25,1.9558,BGN
2023-01-25,8.5202,HKD
2023-01-25,1.0020,CHF
2023-01-26,16298.9700,IDR
2023-01-26,3.7091,ILS
2023-01-26,387.3800,HUF
