Filename,Execution time in seconds,Date,Environment
250504-final_code_with_web_data1_21_12,51.66,25-05-04,Databricks
250504-final_code_with_web_data2_21_13,44.15,25-05-04,Databricks
250504-final_code_with_web_data3_21_14,45.22,25-05-04,Databricks
250504-final_code_with_web_data4_21_15,44.93,25-05-04,Databricks
250504-final_code_with_web_data5_21_16,45.27,25-05-04,Databricks
250504-final_code_with_web_data6_21_17,45.27,25-05-04,Databricks
250504-final_code_with_web_data7_21_18,44.77,25-05-04,Databricks
250504-final_code_with_web_data8_21_19,44.24,25-05-04,Databricks
250504-final_code_with_web_data9_21_20,44.08,25-05-04,Databricks
250504-final_code_with_web_data10_21_21,44.02,25-05-04,Databricks
250506-final_code_with_web_data1_22_01,35.87,25-05-06,Databricks
250506-final_code_with_web_data2_22_01,29.84,25-05-06,Databricks
250506-final_code_with_web_data3_22_02,29.49,25-05-06,Databricks
250506-final_code_with_web_data4_22_03,29.95,25-05-06,Databricks
250506-final_code_with_web_data5_22_04,29.96,25-05-06,Databricks
250506-final_code_with_web_data6_22_04,29.61,25-05-06,Databricks
250506-final_code_with_web_data7_22_05,29.61,25-05-06,Databricks
250506-final_code_with_web_data8_22_06,29.4,25-05-06,Databricks
250506-final_code_with_web_data9_22_06,30.05,25-05-06,Databricks
250506-final_code_with_web_data10_22_07,29.67,25-05-06,Databricks
250511-final_code_with_web_data1_18_50,32.05,25-05-11,Databricks
250511-final_code_with_web_data2_18_51,29.94,25-05-11,Databricks
250511-final_code_with_web_data3_18_52,29.43,25-05-11,Databricks
250511-final_code_with_web_data4_18_53,29.33,25-05-11,Databricks
250511-final_code_with_web_data5_18_54,29.32,25-05-11,Databricks
250511-final_code_with_web_data6_18_54,29.23,25-05-11,Databricks
250511-final_code_with_web_data7_18_55,29.73,25-05-11,Databricks
250511-final_code_with_web_data8_18_56,29.43,25-05-11,Databricks
250511-final_code_with_web_data9_18_57,29.12,25-05-11,Databricks
250511-final_code_with_web_data10_18_58,29.03,25-05-11,Databricks
Notebook_WebData_AccountingData_Combi1_21_32,53.73,25-05-04,Fabric
Notebook_WebData_AccountingData_Combi2_21_33,41.44,25-05-04,Fabric
Notebook_WebData_AccountingData_Combi3_21_34,38.85,25-05-04,Fabric
Notebook_WebData_AccountingData_Combi4_21_35,64.98,25-05-04,Fabric
Notebook_WebData_AccountingData_Combi5_21_39,38.96,25-05-04,Fabric
Notebook_WebData_AccountingData_Combi6_21_39,39.48,25-05-04,Fabric
Notebook_WebData_AccountingData_Combi7_21_40,40.45,25-05-04,Fabric
Notebook_WebData_AccountingData_Combi8_21_41,40.99,25-05-04,Fabric
Notebook_WebData_AccountingData_Combi9_21_42,39.16,25-05-04,Fabric
Notebook_WebData_AccountingData_Combi10_21_43,39.67,25-05-04,Fabric
Notebook_WebData_AccountingData_Combi1_250506_22_09,61.58,25-05-06,Fabric
Notebook_WebData_AccountingData_Combi2_250506_22_10,42.42,25-05-06,Fabric
Notebook_WebData_AccountingData_Combi3_250506_22_12,68.08,25-05-06,Fabric
Notebook_WebData_AccountingData_Combi4_250506_22_12,38.73,25-05-06,Fabric
Notebook_WebData_AccountingData_Combi5_250506_22_13,38.61,25-05-06,Fabric
Notebook_WebData_AccountingData_Combi6_250506_22_14,39.04,25-05-06,Fabric
Notebook_WebData_AccountingData_Combi7_250506_22_15,38.35,25-05-06,Fabric
Notebook_WebData_AccountingData_Combi8_250506_22_16,40.92,25-05-06,Fabric
Notebook_WebData_AccountingData_Combi9_250506_22_17,40.09,25-05-06,Fabric
Notebook_WebData_AccountingData_Combi10_250506_22_18,38.79,25-05-06,Fabric
Notebook_WebData_AccountingData_Combi1_250511_18_24,70.49,25-05-11,Fabric
Notebook_WebData_AccountingData_Combi2_250511_18_25,40.68,25-05-11,Fabric
Notebook_WebData_AccountingData_Combi3_250511_18_26,48.29,25-05-11,Fabric
Notebook_WebData_AccountingData_Combi4_250511_18_27,40.39,25-05-11,Fabric
Notebook_WebData_AccountingData_Combi5_250511_18_28,39.59,25-05-11,Fabric
Notebook_WebData_AccountingData_Combi6_250511_18_30,39.26,25-05-11,Fabric
Notebook_WebData_AccountingData_Combi7_250511_18_31,39.3,25-05-11,Fabric
Notebook_WebData_AccountingData_Combi8_250511_18_32,45.08,25-05-11,Fabric
Notebook_WebData_AccountingData_Combi9_250511_18_34,41.62,25-05-11,Fabric
Notebook_WebData_AccountingData_Combi10_250511_18_36,40.58,25-05-11,Fabric
